"filename", "language", "CSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\JwtInterceptor .ts", "TypeScript", 0, 0, 25, 0, 0, 5, 30
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement-board\advertisement-board.component.css", "CSS", 68, 0, 0, 0, 1, 20, 89
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement-board\advertisement-board.component.html", "HTML", 0, 87, 0, 0, 0, 4, 91
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement-board\advertisement-board.component.spec.ts", "TypeScript", 0, 0, 70, 0, 0, 7, 77
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement-board\advertisement-board.component.ts", "TypeScript", 0, 0, 113, 0, 0, 17, 130
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement-review.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 5, 17
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement-review.service.ts", "TypeScript", 0, 0, 33, 0, 0, 9, 42
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement\advertisement.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement\advertisement.component.html", "HTML", 0, 66, 0, 0, 0, 1, 67
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement\advertisement.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 6, 24
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\advertisement\advertisement.component.ts", "TypeScript", 0, 0, 89, 0, 0, 8, 97
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\alert\alert.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 6, 24
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\alert\alert.component.ts", "TypeScript", 0, 0, 42, 0, 0, 5, 47
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\app.component.css", "CSS", 12, 0, 0, 0, 0, 3, 15
"c:\Users\Admin\Documents\GitHub\RentallFront\src\app\app.component.html", "HTML", 0, 7, 0, 0, 0, 1, 8
